loc_home,loc_neutral,loc_away,elo_diff,form_diff,rest_diff,home_goals,away_goals
1,0,0,-0.20981460540556446,0.0,-2.3353749158170363,2.0,3.0
1,0,0,-0.5839839850454879,0.0,0.0,1.0,3.0
1,0,0,-0.5560087043247459,0.0,0.0,1.0,2.0
0,1,0,-0.1258887632433387,-0.4179556503122707,0.0,1.0,1.0
0,1,0,0.7693202198204032,1.302922756839593,0.0,1.0,1.0
1,0,0,0.3846601099102016,-0.8464918982860624,-1.3545456628053105,3.0,0.0
0,1,0,0.5979716254058589,0.8152725770756106,0.0,1.0,2.0
1,0,0,-0.11889494306315318,-0.4129748076654709,1.2527629684953678,1.0,1.0
0,1,0,-0.18183932468482256,1.1718557505238432,0.5108256237659905,1.0,0.0
1,0,0,-0.5839839850454879,0.7340098937332735,0.0,0.0,0.0
1,0,0,-0.8497491518925362,-0.7340098937332735,0.0,0.0,2.0
1,0,0,-0.8917120729736492,-0.7340098937332735,0.0,1.0,2.0
1,0,0,0.9686440949556894,-1.9073577907204882,0.2231435513142097,2.0,0.0
1,0,0,0.22030533567584276,0.032074853023525446,-0.3429447511268302,2.0,2.0
1,0,0,-0.059447471531576535,0.03880810998353956,-2.7080502011022096,2.0,1.0
0,1,0,-1.8778407183798025,0.4441406648504179,0.2231435513142097,2.0,4.0
0,1,0,1.5841002708120122,0.8743974387199325,0.5108256237659905,4.0,2.0
0,1,0,-0.29374044756779033,0.8704023360644673,-0.5108256237659905,1.0,0.0
1,0,0,1.8183932468482258,1.7686099093939789,0.5108256237659905,7.0,0.0
0,1,0,-0.4021446603606653,-0.7079687824331502,0.0,0.0,2.0
1,0,0,-0.48956741261298387,-0.5948856100700681,-0.43531807125784594,2.0,1.0
1,0,0,0.6609160070275282,1.4501934493414135,-0.4054651081081644,3.0,1.0
1,0,0,0.3042311778380685,0.016909208985727342,-0.2666286632539485,2.0,1.0
0,1,0,0.7937985904510524,0.03795537515454861,0.4723593429381947,5.0,0.0
1,0,0,-0.08042893207213309,0.09719573026003797,-2.292534757140544,2.0,1.0
1,0,0,-0.3322064585588104,-0.7039310705542289,-2.6492097010792763,2.0,2.0
1,0,0,-0.1853362347749153,1.412176082201932,0.3946541920039488,1.0,1.0
1,0,0,-0.03496910090092742,-0.6557813508659508,-1.1939224684724343,5.0,1.0
0,1,0,1.503671338739879,0.17662809743000973,2.740840023925201,2.0,0.0
0,1,0,0.7098727482888266,-0.288449158101739,-0.6931471805599452,2.0,0.0
1,0,0,0.636437636396879,0.7601713583773859,0.06899287148695166,1.0,0.0
1,0,0,-0.9091966234241128,-1.1421071759234078,2.7212954278522306,1.0,1.0
1,0,0,0.04196292108111288,2.232896924614866,-0.9808292530117262,0.0,0.0
1,0,0,0.5105488731535404,-0.49214031690482996,0.0,1.0,3.0
0,1,0,-0.3811631998201088,0.4393846947403349,2.3353749158170363,4.0,1.0
1,0,0,-0.05944747153157659,0.9180336749728507,0.0,1.0,2.0
1,0,0,0.18183932468482258,1.1733503468526352,0.0,1.0,3.0
1,0,0,0.18183932468482258,-0.15849924860074507,0.0,2.0,0.0
1,0,0,-0.5874808951355807,-0.6419542606033011,0.7449722484245314,2.0,2.0
0,1,0,0.405641570450758,0.846152949373836,0.0,2.0,0.0
1,0,0,1.5910940909921976,2.37119974028528,0.0,2.0,0.0
1,0,0,0.7553325794600323,-0.47634981366036544,-0.6466271649250523,0.0,0.0
1,0,0,-1.2553907223432943,-2.830627968575998,0.06899287148695166,1.0,1.0
1,0,0,-0.8112831409015161,-0.2098643029032754,0.03390155167568132,1.0,0.0
1,0,0,0.9896255554962459,0.9841964469813959,0.0,0.0,1.0
0,1,0,-0.1958269650451936,-0.5181453551988024,0.0,1.0,1.0
0,1,0,0.6539221868473427,-0.9402217612188943,-0.4054651081081646,5.0,1.0
0,1,0,0.06993820180185478,0.9250145858143655,-2.647946277032505,0.0,0.0
1,0,0,-0.5595056144148387,-2.379560468691505,0.47000362924573547,3.0,3.0
0,1,0,-0.8182769610817017,-0.5434747425261279,0.0,1.0,2.0
1,0,0,-0.16785168432445163,-0.4913574581703132,0.45953232937844035,1.0,0.0
1,0,0,0.4580952218021492,1.264382159262663,0.0,4.0,0.0
1,0,0,0.6189530859464153,1.303728232341411,0.2076393647782444,5.0,2.0
0,1,0,-0.24128679621639926,-1.4605806957695993,0.0,1.0,0.0
1,0,0,-0.15736095405417339,-0.18186105013705803,-0.9279867716373462,1.0,1.0
1,0,0,0.8882151628835564,0.05524836282846779,0.06453852113757108,2.0,0.0
1,0,0,-0.5140457832436331,0.8318447957899997,0.0,0.0,1.0
1,0,0,0.8357615115321653,0.7999695529885962,0.0,0.0,0.0
1,0,0,-0.09441657243250412,0.22124334185095199,-1.3694872428035096,3.0,1.0
1,0,0,1.0770483077485644,0.8904781006241629,0.0,2.0,1.0
1,0,0,0.08042893207213309,-0.6770872727207384,-0.7621400520468968,1.0,1.0
1,0,0,0.3322064585588104,0.9064945768720583,1.3173014896329396,1.0,2.0
1,0,0,0.1853362347749153,0.5289208143306369,0.0,3.0,0.0
1,0,0,-0.3042311778380685,-0.549338363601386,1.5824092400461809,0.0,1.0
1,0,0,0.03496910090092742,-1.2200168896180466,0.6757554378480761,0.0,1.0
0,1,0,0.24128679621639926,0.10139946112957535,0.0,4.0,3.0
1,0,0,0.9161904436042984,-1.3222802412264456,-0.3136575588550419,4.0,0.0
1,0,0,-0.1643547742343589,-0.19159890169150112,1.0986122886681098,3.0,1.0
1,0,0,1.9163067293708225,1.491657286219025,-1.530543969964437,5.0,0.0
1,0,0,-1.1819556104513467,-0.3916526410423726,1.806797346592595,1.0,0.0
0,1,0,1.2973536434244073,1.202789653278056,0.5436154465889818,3.0,1.0
1,0,0,0.975637915135875,0.0,0.0,5.0,0.0
1,0,0,0.1468702237838952,0.003963224300006146,0.2984929885559966,1.0,1.0
1,0,0,-0.21680842558574998,0.39862783468537677,0.0,2.0,2.0
1,0,0,0.1468702237838952,0.003923789559331731,0.0,0.0,0.0
0,1,0,1.192446340721625,0.9147487612414817,0.0,5.0,2.0
1,0,0,-0.33570336864890327,0.1516287365473229,0.0,1.0,0.0
